t,spread,adverse_selection,inventory,net
0,0.08615904687445959,-0.0,-8.311348276375843e-05,0.08607593339169584
1,0.14707178565169637,-0.0,-8.311348276375843e-05,0.1469886721689326
2,0.264969946541061,-0.0,-8.311348276375843e-05,0.2648868330582972
3,0.2921415163246376,-0.0,-0.005450315958574378,0.28669120036606316
4,0.3168201144255984,-0.0,-0.005450315958574378,0.31136979846702395
5,0.38012518563757824,-0.0,-0.013195564403074761,0.36692962123450346
6,0.47425999903774296,-0.0,-0.013195564403074761,0.4610644346346682
7,0.566020963564689,-0.0,-0.020760773549443085,0.545260190015246
8,0.5818791616295044,-0.0004486964219944213,-0.021209469971437505,0.5602209952360725
9,0.6798760819290487,-0.0004486964219944213,-0.021209469971437505,0.6582179155356168
10,0.7485287593063052,-0.0004486964219944213,-0.021209469971437505,0.7268705929128734
11,0.8366108268325302,-0.0004486964219944213,-0.021209469971437505,0.8149526604390983
12,0.9276811211639144,-0.0004486964219944213,-0.033891674865936805,0.8933407498759833
13,1.002187802693109,-0.004327515118350112,-0.033891674865936805,0.9639686127088223
14,1.0385103927287784,-0.004327515118350112,-0.033891674865936805,1.0002912027444917
15,1.066914414373833,-0.02084763617815074,-0.05041179592573743,0.9956549822699449
16,1.1967628442774414,-0.02084763617815074,-0.055027556605295284,1.1208876514939956
17,1.2879647198427102,-0.02084763617815074,-0.0609605765949288,1.206156507069631
18,1.315691362254809,-0.0464448319517705,-0.0609605765949288,1.2082859537081099
19,1.363786933249932,-0.0464448319517705,-0.0609605765949288,1.2563815247032328
20,1.416108576351455,-0.0464448319517705,-0.0609605765949288,1.3087031678047558
21,1.4312128226225704,-0.0464448319517705,-0.0609605765949288,1.3238074140758713
22,1.520563041649712,-0.0464448319517705,-0.06909282847674718,1.4050253812211946
23,1.5373494003548118,-0.0464448319517705,-0.07232146995894416,1.4185830984440972
24,1.6215700407139766,-0.0464448319517705,-0.07232146995894416,1.502803738803262
25,1.7507472748971344,-0.0464448319517705,-0.09352401803495435,1.6107784249104098
26,1.788210039510149,-0.0464448319517705,-0.09606578197591122,1.6456994255824673
27,1.815077835177323,-0.05055081832454557,-0.09606578197591122,1.668461234876866
28,1.8499983960599464,-0.05055081832454557,-0.10791216223727843,1.6915354154981221
29,1.9706290928127161,-0.05055081832454557,-0.10791216223727843,1.8121661122508919
30,2.0421185808916054,-0.06044116758763418,-0.11780251150036704,1.8638749018036038
31,2.1385577704106735,-0.07225046905405116,-0.11780251150036704,1.9485047898562549
32,2.202427622926828,-0.07225046905405116,-0.1364428842609435,1.9937342696118328
33,2.2201280204609057,-0.07225046905405116,-0.14352652944989971,2.0043510219569542
34,2.2528248229240613,-0.07225046905405116,-0.14352652944989971,2.03704782442011
35,2.3375888846204074,-0.07225046905405116,-0.14352652944989971,2.121811886116456
36,2.359338987411854,-0.08939501775532496,-0.14352652944989971,2.126417440206629
37,2.437568934997304,-0.08939501775532496,-0.14352652944989971,2.204647387792079
38,2.4788025379193885,-0.08939501775532496,-0.14352652944989971,2.2458809907141633
39,2.5200212720535764,-0.08939501775532496,-0.1445593053965993,2.2860669489016514
40,2.64241735222568,-0.08939501775532496,-0.1445593053965993,2.408463029073755
41,2.656082940932731,-0.11129433575795605,-0.1664586233992304,2.378329981775544
42,2.7289303390155606,-0.12205923534842443,-0.1664586233992304,2.4404124802679052
43,2.7942954680775998,-0.12205923534842443,-0.18073582279419917,2.491500409934976
44,2.861573455615178,-0.1340265992668322,-0.19270318671260692,2.534843669635739
45,2.9458270271753024,-0.1340265992668322,-0.204260573729596,2.6075398541788744
46,2.979769313088839,-0.1340265992668322,-0.2052574807436709,2.640485233078336
