condition,algorithm,t,cum_pnl
stationary,Exp3,108,6.012782949125169
stationary,Exp3,109,6.1784106883906365
stationary,Exp3,110,6.23028553814072
stationary,Exp3,111,6.266312348938386
stationary,Exp3,112,6.283208633801124
stationary,Exp3,113,6.300991504790725
stationary,Exp3,114,6.2819081701229065
stationary,Exp3,115,6.348676899843386
stationary,Exp3,116,6.432145737878681
stationary,Exp3,117,6.518741121425124
stationary,Exp3,118,6.570347626670537
stationary,Exp3,119,6.592507423936011
stationary,Exp3,120,6.5668915933872904
stationary,Exp3,121,6.611140233488062
stationary,Exp3,122,6.541758191412099
stationary,Exp3,123,6.586928958277341
stationary,Exp3,124,6.680509480864172
stationary,Exp3,125,6.765476189385284
stationary,Exp3,126,6.834622924255063
stationary,Exp3,127,6.855933900228338
stationary,Exp3,128,6.9329308066678355
stationary,Exp3,129,6.936859273984944
stationary,Exp3,130,7.033481177088833
stationary,Exp3,131,7.064069929359317
stationary,Exp3,132,7.0633881231200375
stationary,Exp3,133,7.244157842649248
stationary,Exp3,134,7.296229185022663
stationary,Exp3,135,7.402817100433849
stationary,Exp3,136,7.4834031551475535
stationary,Exp3,137,7.585131579101004
stationary,Exp3,138,7.603057365205741
stationary,Exp3,139,7.62541211353969
stationary,Exp3,140,7.603189853138018
stationary,Exp3,141,7.5912967775292195
stationary,Exp3,142,7.680950140782203
stationary,Exp3,143,7.774268094839767
stationary,Exp3,144,7.837519724120467
stationary,Exp3,145,7.819871617489914
stationary,Exp3,146,7.788913745474297
stationary,Exp3,147,7.831781591727105
stationary,Exp3,148,7.86654194246752
stationary,Exp3,149,7.868147887034411
stationary,Exp3,150,7.960404695980763
stationary,Exp3,151,7.963019986770344
stationary,Exp3,152,8.034188527578289
stationary,Exp3,153,8.072509859502334
stationary,Exp3,154,8.150229553435492
stationary,Exp3,155,8.129271943471506
stationary,Exp3,156,8.269796121467817
stationary,Exp3,157,8.318874701305317
stationary,Exp3,158,8.344328953585983
stationary,Exp3,159,8.343477866361972
stationary,Exp3,160,8.378875615868123
stationary,Exp3,161,8.33988196411623
stationary,Exp3,162,8.447256410196637
stationary,Exp3,163,8.572741256676393
stationary,Exp3,164,8.625250602095296
stationary,Exp3,165,8.679389487713927
stationary,Exp3,166,8.696025155751565
stationary,Exp3,167,8.787913855747613
stationary,Exp3,168,8.809586636699771
stationary,Exp3,169,8.876804310112794
stationary,Exp3,170,8.82526032453094
stationary,Exp3,171,8.826687897190173
stationary,Exp3,172,8.865901606072393
stationary,Exp3,173,8.855571717875781
stationary,Exp3,174,8.960551947146612
stationary,Exp3,175,9.066875672219943
stationary,Exp3,176,9.02703306537483
stationary,Exp3,177,9.053706874100001
stationary,Exp3,178,9.085159108785884
stationary,Exp3,179,9.15727162134138
stationary,Exp3,180,9.185115475076607
stationary,Exp3,181,9.322682632188366
stationary,Exp3,182,9.32688676374315
stationary,Exp3,183,9.392060723046221
stationary,Exp3,184,9.437592858083692
stationary,Exp3,185,9.464718882744053
stationary,Exp3,186,9.494402830471678
stationary,Exp3,187,9.555095997243695
stationary,Exp3,188,9.598409779820816
stationary,Exp3,189,9.638059654305097
stationary,Exp3,190,9.724113776208101
stationary,Exp3,191,9.69811353104339
stationary,Exp3,192,9.739918223193117
stationary,Exp3,193,9.844244137471673
stationary,Exp3,194,9.871378601521979
stationary,Exp3,195,9.917791141555039
stationary,Exp3,196,9.965690383300576
stationary,Exp3,197,10.045783627186852
stationary,Exp3,198,10.105636435521617
stationary,Exp3,199,10.129864463668396
stationary,Exp3,200,10.113758563976996
stationary,Exp3,201,10.144946077694799
stationary,Exp3,202,10.272647610740014
stationary,Exp3,203,10.249796509681184
stationary,Exp3,204,10.309976012164896
stationary,Exp3,205,10.396103521315544
stationary,Exp3,206,10.504985650029354
stationary,Exp3,207,10.587690251921666
stationary,Exp3,208,10.679847335240765
stationary,Exp3,209,10.764064969930693
stationary,Exp3,210,10.844623503371952
stationary,Exp3,211,10.878836617248908
stationary,Exp3,212,10.979511825569464
stationary,Exp3,213,11.021791666958585
stationary,Exp3,214,11.095153422432219
stationary,Exp3,215,11.086892626078905
stationary,Exp3,216,11.192705627970184
stationary,Exp3,217,11.295234283147812
stationary,Exp3,218,11.351120068810106
stationary,Exp3,219,11.4705587564858
stationary,Exp3,220,11.531146407940538
stationary,Exp3,221,11.506021021746584
stationary,Exp3,222,11.479858072292433
stationary,Exp3,223,11.479521933450977
stationary,Exp3,224,11.552890109704572
stationary,Exp3,225,11.684658332841028
stationary,Exp3,226,11.617583324421856
stationary,Exp3,227,11.689030971518548
stationary,Exp3,228,11.762791642719824
stationary,Exp3,229,11.836464148098853
stationary,Exp3,230,11.854934450694147
stationary,Exp3,231,11.941477089373475
stationary,Exp3,232,11.961614235969884
stationary,Exp3,233,12.04563783207733
stationary,Exp3,234,12.084787804806568
stationary,Exp3,235,12.188315157885649
stationary,Exp3,236,12.265501680425901
stationary,Exp3,237,12.333370747702155
stationary,Exp3,238,12.382686344842977
stationary,Exp3,239,12.489556671948893
stationary,Exp3,240,12.585784758648558
stationary,Exp3,241,12.657414412582657
stationary,Exp3,242,12.69389488875634
stationary,Exp3,243,12.792692282034539
stationary,Exp3,244,12.869278299941474
stationary,Exp3,245,12.89976416076627
stationary,Exp3,246,12.943114468633762
stationary,Exp3,247,13.041509407749574
stationary,Exp3,248,13.16222559491915
stationary,Exp3,249,13.255619993563622
stationary,Exp3,250,13.252226225195242
stationary,Exp3,251,13.249397664538586
stationary,Exp3,252,13.27128403297255
stationary,Exp3,253,13.21131733162158
stationary,Exp3,254,13.270572559314358
stationary,Exp3,255,13.301086040254692
stationary,Exp3,256,13.376469106974541
stationary,Exp3,257,13.443716959259296
stationary,Exp3,258,13.477315451760473
stationary,Exp3,259,13.520251272956985
stationary,Exp3,260,13.479253974957256
stationary,Exp3,261,13.529738234437195
stationary,Exp3,262,13.672710492548736
stationary,Exp3,263,13.72171382444124
